run	id
ptyr164	AID0118-fq1
ptyr164	AID1678-fq1
ptyr164	AID5841-fq1
ptyr164	AID5180-fq1
ptyr164	AID5968-fq1
ptyr164	AID6056-fq1
ptyr165	AID0532-fq1
ptyr165	AID3077-fq2
ptyr165	AID3077-fq1
ptyr165	AID2621-fq1
ptyr165	AID2215-fq1
ptyr165	AID6047-fq1
ptyr165	AID1221-fq1
ptyr166	AID0936-fq1
ptyr166	AID0936-fq2
ptyr166	AID1644-fq1
ptyr166	AID6310-fq1
ptyr166	AID0977-fq1
ptyr166	AID4482-fq1
ptyr166	AID4482-fq2
ptyr166	AID1208-fq1
ptyr167	AID5732-fq1
ptyr167	AID5732-fq2
ptyr167	AID8354-fq1
ptyr167	AID8354-fq2
ptyr167	AID8981-fq1
ptyr167	AID8981-fq2
ptyr167	AID4990-fq1
ptyr167	AID3177-fq1
ptyr167	AID7178-fq1
ptyr168	AID1625-fq1
ptyr168	AID1625-fq2
ptyr168	AID2382-fq1
ptyr168	AID5147-fq1
ptyr168	AID8660-fq1
ptyr168	AID0597-fq1
ptyr168	AID1178-fq1
ptyr169	AID3487-fq1
ptyr169	AID6511-fq1
ptyr169	AID8776-fq1
ptyr169	AID8776-fq2
ptyr169	AID8520-fq1
ptyr169	AID0390-fq1
ptyr169	AID4806-fq1
ptyr16	AID0053-fq1
ptyr16	AID1217-fq1
ptyr16	AID1893-fq1
ptyr16	AID7452-fq1
ptyr16	AID7452-fq2
ptyr16	AID8817-fq1
ptyr16	AID8951-fq1
ptyr16	AID5923-fq1
ptyr16	AID9031-fq1
ptyr170	AID5280-fq1
ptyr170	AID5398-fq1
ptyr170	AID6584-fq1
ptyr170	AID8768-fq1
ptyr170	AID7765-fq1
ptyr170	AID9048-fq1
ptyr171	AID0957-fq1
ptyr171	AID2637-fq1
ptyr171	AID5672-fq1
ptyr171	AID8483-fq1
ptyr171	AID3171-fq1
ptyr171	AID2738-fq1
ptyr172	AID2719-fq1
ptyr172	AID7866-fq1
ptyr172	AID5774-fq1
ptyr172	AID3040-fq1
ptyr172	AID3984-fq1
ptyr172	AID5774-fq2
ptyr172	AID9084-fq1
ptyr173	AID0323-fq1
ptyr173	AID4365-fq1
ptyr173	AID8907-fq1
ptyr173	AID7496-fq1
ptyr173	AID2569-fq1
ptyr173	AID5716-fq1
ptyr173	AID8907-fq2
ptyr174	AID1226-fq1
ptyr174	AID3351-fq1
ptyr174	AID3351-fq2
ptyr174	AID2656-fq1
ptyr174	AID6919-fq1
ptyr174	AID7158-fq1
ptyr174	AID7598-fq1
ptyr174	AID7598-fq2
ptyr175	AID0024-fq1
ptyr175	AID1336-fq1
ptyr175	AID4768-fq1
ptyr175	AID3673-fq1
ptyr175	AID3744-fq1
ptyr175	AID3105-fq1
ptyr176	AID1011-fq1
ptyr176	AID1230-fq1
ptyr176	AID6453-fq1
ptyr176	AID3329-fq1
ptyr176	AID8466-fq1
ptyr176	AID5515-fq1
ptyr177	AID3174-fq2
ptyr177	AID3253-fq1
ptyr177	AID5039-fq1
ptyr177	AID6726-fq1
ptyr177	AID4963-fq1
ptyr177	AID4963-fq3
ptyr177	AID4963-fq2
ptyr177	AID6726-fq2
ptyr177	AID4878-fq1
ptyr177	AID3174-fq1
ptyr178	AID0091-fq1
ptyr178	AID7084-fq1
ptyr178	AID5204-fq1
ptyr178	AID7104-fq1
ptyr178	AID7104-fq2
ptyr178	AID5544-fq1
ptyr178	AID5544-fq2
ptyr178	AID6725-fq1
ptyr178	AID7084-fq2
ptyr179	AID6205-fq1
ptyr179	AID8392-fq2
ptyr179	AID7964-fq1
ptyr179	AID8392-fq1
ptyr179	AID7282-fq1
ptyr179	AID7681-fq1
ptyr179	AID1464-fq1
ptyr17	AID0132-fq1
ptyr17	AID7385-fq1
ptyr17	AID2953-fq1
ptyr17	AID2953-fq2
ptyr17	AID2484-fq1
ptyr17	AID4327-fq1
ptyr17	AID2814-fq1
ptyr17	AID7520-fq1
ptyr17	AID4396-fq2
ptyr17	AID4396-fq1
ptyr180	AID2434-fq1
ptyr180	AID4577-fq1
ptyr180	AID8805-fq3
ptyr180	AID8990-fq1
ptyr180	AID8805-fq4
ptyr180	AID8805-fq2
ptyr180	AID4758-fq1
ptyr180	AID9121-fq1
ptyr180	AID8805-fq1
ptyr181	AID0689-fq1
ptyr181	AID7297-fq1
ptyr181	AID1432-fq1
ptyr181	AID1432-fq3
ptyr181	AID3643-fq1
ptyr181	AID4660-fq1
ptyr181	AID9015-fq1
ptyr181	AID1432-fq2
ptyr182	AID3262-fq1
ptyr182	AID8954-fq1
ptyr182	AID3419-fq1
ptyr182	AID3479-fq1
ptyr182	AID5567-fq1
ptyr182	AID5567-fq2
ptyr182	AID3596-fq1
ptyr183	AID0861-fq1
ptyr183	AID0861-fq2
ptyr183	AID1277-fq2
ptyr183	AID3622-fq1
ptyr183	AID6386-fq1
ptyr183	AID2977-fq1
ptyr183	AID8598-fq1
ptyr183	AID1277-fq1
ptyr183	AID1277-fq3
ptyr184	AID0790-fq1
ptyr184	AID6314-fq1
ptyr184	AID6347-fq1
ptyr184	AID4601-fq1
ptyr184	AID9101-fq1
ptyr184	AID4742-fq1
ptyr184	AID4742-fq3
ptyr184	AID4742-fq2
ptyr185	AID0414-fq1
ptyr185	AID0414-fq2
ptyr185	AID3340-fq1
ptyr185	AID3847-fq1
ptyr185	AID3847-fq2
ptyr185	AID5365-fq1
ptyr185	AID3715-fq1
ptyr185	AID4477-fq1
ptyr186	AID1039-fq1
ptyr186	AID2967-fq1
ptyr186	AID6549-fq1
ptyr186	AID3934-fq1
ptyr186	AID3934-fq2
ptyr186	AID7752-fq1
ptyr186	AID7752-fq2
ptyr186	AID4521-fq2
ptyr186	AID4521-fq1
ptyr187	AID0464-fq1
ptyr187	AID0464-fq2
ptyr187	AID1158-fq1
ptyr187	AID3570-fq1
ptyr187	AID2585-fq1
ptyr187	AID8202-fq1
ptyr187	AID1158-fq2
ptyr187	AID8065-fq1
ptyr188	AID0901-fq1
ptyr188	AID7932-fq1
ptyr188	AID7317-fq1
ptyr189	AID0667-fq1
ptyr189	AID2909-fq1
ptyr189	AID3875-fq1
ptyr189	AID3875-fq2
ptyr18	AID0661-fq1
ptyr18	AID3841-fq1
ptyr18	AID5891-fq1
ptyr18	AID7927-fq1
ptyr18	AID1332-fq1
ptyr18	AID1332-fq3
ptyr18	AID8731-fq1
ptyr18	AID2539-fq1
ptyr18	AID4870-fq1
ptyr18	AID1332-fq2
ptyr190	AID0393-fq1
ptyr190	AID8196-fq1
ptyr190	AID8196-fq2
ptyr190	AID5483-fq1
ptyr190	AID7341-fq1
ptyr190	AID7477-fq1
ptyr190	AID7824-fq1
ptyr191	AID0563-fq1
ptyr191	AID0563-fq2
ptyr191	AID3039-fq1
ptyr191	AID8425-fq1
ptyr191	AID6017-fq1
ptyr191	AID8267-fq1
ptyr191	AID8386-fq1
ptyr192	AID4676-fq1
ptyr192	AID7046-fq1
ptyr192	AID6885-fq1
ptyr192	AID7087-fq1
ptyr192	AID8980-fq1
ptyr192	AID8792-fq1
ptyr192	AID8792-fq2
ptyr193	AID2038-fq1
ptyr193	AID2038-fq2
ptyr193	AID8135-fq1
ptyr193	AID4727-fq1
ptyr193	AID2571-fq1
ptyr193	AID3071-fq1
ptyr193	AID5210-fq1
ptyr194	AID0684-fq1
ptyr194	AID1554-fq2
ptyr194	AID1214-fq1
ptyr194	AID4137-fq1
ptyr194	AID7680-fq1
ptyr194	AID2302-fq1
ptyr194	AID1554-fq1
ptyr195	AID1845-fq1
ptyr195	AID2991-fq1
ptyr195	AID7227-fq1
ptyr195	AID2713-fq1
ptyr195	AID3084-fq1
ptyr195	AID5883-fq2
ptyr195	AID5883-fq1
ptyr196	AID1583-fq1
ptyr196	AID4351-fq1
ptyr196	AID1622-fq1
ptyr196	AID7110-fq1
ptyr196	AID7157-fq1
ptyr196	AID9085-fq1
ptyr197	AID1521-fq1
ptyr197	AID2191-fq1
ptyr197	AID5267-fq1
ptyr197	AID7748-fq1
ptyr197	AID8076-fq1
ptyr197	AID6843-fq1
ptyr198	AID2826-fq1
ptyr198	AID3001-fq1
ptyr198	AID7949-fq1
ptyr198	AID3579-fq1
ptyr198	AID4341-fq1
ptyr198	AID4700-fq1
ptyr199	AID1550-fq1
ptyr199	AID5075-fq1
ptyr199	AID1795-fq1
ptyr199	AID1795-fq2
ptyr199	AID7753-fq1
ptyr199	AID6762-fq1
ptyr199	AID8238-fq1
ptyr19	AID2350-fq1
ptyr19	AID8350-fq1
ptyr19	AID8350-fq2
ptyr19	AID2962-fq1
ptyr19	AID3364-fq1
ptyr19	AID3364-fq2
ptyr19	AID8511-fq1
ptyr19	AID8511-fq2
ptyr19	AID6012-fq1
ptyr19	AID6242-fq1
ptyr19	AID6242-fq2
ptyr19	AID2082-fq1
ptyr1	AID2963-fq2
ptyr1	AID8528-fq1
ptyr1	AID7790-fq1
ptyr1	AID5796-fq1
ptyr1	AID7790-fq2
ptyr1	AID4412-fq1
ptyr1	AID5320-fq1
ptyr1	AID5380-fq1
ptyr1	AID5906-fq2
ptyr1	AID5906-fq1
ptyr1	AID2963-fq1
ptyr200	AID0204-fq1
ptyr200	AID5232-fq1
ptyr200	AID1317-fq1
ptyr200	AID2195-fq1
ptyr200	AID2088-fq1
ptyr200	AID0871-fq2
ptyr200	AID0871-fq1
ptyr201	AID0050-fq1
ptyr201	AID1788-fq2
ptyr201	AID1788-fq1
ptyr201	AID2932-fq1
ptyr201	AID2839-fq1
ptyr201	AID6411-fq1
ptyr201	AID8756-fq1
ptyr202	AID2749-fq1
