name	median	lower	upper	bulk_ess	tail_ess	rhat	idx	id
logit_prob_seq_ind[348]	-0.5085675000000001	-1.98646	1.16205	11794.92698064716	5675.06059575374	1.0001073629103399	348	348
logit_prob_seq_ind[349]	-0.002693305	-1.35018	1.41877	10986.96189672808	5121.152107359372	1.0000419792040334	349	349
logit_prob_seq_ind[34]	-0.11019699999999999	-0.849582	0.654876	10718.724550043042	4999.758369555531	1.0000832819023988	34	34
logit_prob_seq_ind[350]	-0.2238715	-0.909119	0.511178	12682.110320332555	5629.013820699528	1.0001345927917147	350	350
logit_prob_seq_ind[351]	-0.0183579	-1.41545	1.46208	11321.302662057999	5804.953754912476	1.0001453769600037	351	351
logit_prob_seq_ind[352]	0.3443195	-0.43049	1.12958	7560.538102876796	3887.1076884781173	1.000172253465591	352	352
logit_prob_seq_ind[353]	0.842189	-0.0435667	1.82677	11051.093137350015	5080.315135250066	1.000264645404037	353	353
logit_prob_seq_ind[354]	0.30681349999999996	-1.24943	2.11921	11004.59684128275	5862.832583413362	1.000052304996618	354	354
logit_prob_seq_ind[355]	-0.801716	-1.57549	-0.0718003	10506.726049866174	5300.213942823898	1.0000449093269275	355	355
logit_prob_seq_ind[356]	-0.606193	-1.78182	0.791852	10537.828270177442	4885.832847076275	1.0000373405496477	356	356
logit_prob_seq_ind[357]	0.3512405	-0.58197	1.33996	12238.475181837503	4828.287881410358	1.0005441864633415	357	357
logit_prob_seq_ind[358]	0.1574645	-0.642498	0.942464	10621.175861082482	4940.259277579245	1.0000497633582965	358	358
logit_prob_seq_ind[359]	-0.07660055	-0.802702	0.634271	12194.61571224058	4553.2241838600585	1.0001984027950956	359	359
logit_prob_seq_ind[35]	-0.5821995	-1.64192	0.650327	12869.076269680849	4778.8661933855665	1.0007790938185006	35	35
logit_prob_seq_ind[360]	0.1094425	-0.588868	0.838398	11131.250796396163	4717.705603138513	0.999967878097486	360	360
logit_prob_seq_ind[361]	0.272276	-0.500841	1.10762	10815.069645654517	5260.785386903633	1.0006966427808424	361	361
logit_prob_seq_ind[362]	-0.589808	-1.35021	0.12314	9150.03251227877	4881.53114639882	0.9999670495657103	362	362
logit_prob_seq_ind[363]	-0.27336499999999997	-1.09625	0.62473	12428.355634153033	5839.832715831972	1.000103160398562	363	363
logit_prob_seq_ind[364]	-1.1405750000000001	-1.82586	-0.428259	11952.45172952583	6192.710269171868	1.0002489074769914	364	364
logit_prob_seq_ind[365]	0.0915551	-1.80688	1.91718	13512.617466157968	5648.51602856855	0.9999184083842342	365	365
logit_prob_seq_ind[366]	-0.0272347	-0.780044	0.765985	11600.85569922207	5306.475218425315	0.9999545235632619	366	366
logit_prob_seq_ind[367]	1.344055	0.29728	2.56383	10133.664097526493	4682.402972070143	1.0015611182763084	367	367
logit_prob_seq_ind[368]	-0.36114999999999997	-1.38511	0.831999	10229.635207642497	4710.992293505036	1.0007529744894097	368	368
logit_prob_seq_ind[369]	-0.6573435000000001	-2.25748	1.10176	11806.63954774639	5241.205505907901	0.9999771086851298	369	369
logit_prob_seq_ind[36]	0.835564	0.0330105	1.57321	9870.367242448123	5396.073427626243	1.000913666504539	36	36
logit_prob_seq_ind[370]	-0.4754835	-1.29705	0.466972	11580.027578477411	5464.832190483414	0.9999113956598841	370	370
logit_prob_seq_ind[371]	-0.4307175	-1.94367	1.15673	10142.89125612915	5187.658681623881	1.0003777727992995	371	371
logit_prob_seq_ind[372]	0.9720679999999999	0.151999	1.65264	9792.962014819514	5023.083351376902	1.0002739839835	372	372
logit_prob_seq_ind[373]	0.20928750000000002	-1.4933	1.99705	12591.545780339633	5685.781734541725	0.9999165528119534	373	373
logit_prob_seq_ind[374]	-0.10851749999999999	-0.893148	0.676431	10814.303808788003	4326.995284036664	1.000383096823421	374	374
logit_prob_seq_ind[375]	-1.347615	-2.10082	-0.59657	9852.566188262077	4876.862970370578	0.9999740301469338	375	375
